Name,Author,Link,Publisher,Publishing/Release Date,Score /5,Status,Summary,Type
Developer Roadmaps,,,,,,,,Article
心理的安全性の作り方,石井 遼介,https://www.amazon.co.jp/dp/B08JVDFT59/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,,,,,,Article
https://ux-mov.com/xmov,,https://ux-mov.com/,,,,,,Article
https://www.xn--t8ju21hu42avir.com/,,https://www.xn--t8ju21hu42avir.com/,,,,,,Article
動くwebデザインアイディア帳,,https://coco-factory.jp/ugokuweb/,,,,,,Article
マネるデザイン研究所,,https://maneru-design-lab.net/,,,,,,Article
成功例・失敗例の共有,,,,,,,,Article
心理的安全性の作り方,石井 遼介,https://www.amazon.co.jp/%E5%BF%83%E7%90%86%E7%9A%84%E5%AE%89%E5%85%A8%E6%80%A7%E3%81%AE%E3%81%A4%E3%81%8F%E3%82%8A%E3%81%8B%E3%81%9F-%E7%9F%B3%E4%BA%95-%E9%81%BC%E4%BB%8B/dp/4820728245/ref=sr_1_1?adgrpid=124347296050&gclid=CjwKCAiA866PBhAYEiwANkIneF3DEd-jCQ2gUXlNO_rTx8wwUy8RIRIafrqF69bHd6UA6i3W6qsBMxoCgwwQAvD_BwE&hvadid=557902281505&hvdev=c&hvlocphy=1009308&hvnetw=g&hvqmt=e&hvrand=6622399833983592342&hvtargid=kwd-967058364954&hydadcr=4072_13159912&jp-ad-ap=0&keywords=%E5%BF%83%E7%90%86%E7%9A%84%E5%AE%89%E5%85%A8%E6%80%A7%E3%81%AE%E4%BD%9C%E3%82%8A%E6%96%B9&qid=1642922473&s=books&sr=1-1,,2022年1月23日,⭐️⭐️⭐️⭐️⭐️,,ヌルい職場は誤解!「健全な衝突」がチームの力を引き上げる。施策だけではうまくいかない心理的安全性の効果的なつくりかた。,book
心理的安全性の作り方,石井 遼介,https://www.amazon.co.jp/%E5%BF%83%E7%90%86%E7%9A%84%E5%AE%89%E5%85%A8%E6%80%A7%E3%81%AE%E3%81%A4%E3%81%8F%E3%82%8A%E3%81%8B%E3%81%9F-%E7%9F%B3%E4%BA%95-%E9%81%BC%E4%BB%8B/dp/4820728245/ref=sr_1_1?adgrpid=124347296050&gclid=CjwKCAiA866PBhAYEiwANkIneF3DEd-jCQ2gUXlNO_rTx8wwUy8RIRIafrqF69bHd6UA6i3W6qsBMxoCgwwQAvD_BwE&hvadid=557902281505&hvdev=c&hvlocphy=1009308&hvnetw=g&hvqmt=e&hvrand=6622399833983592342&hvtargid=kwd-967058364954&hydadcr=4072_13159912&jp-ad-ap=0&keywords=%E5%BF%83%E7%90%86%E7%9A%84%E5%AE%89%E5%85%A8%E6%80%A7%E3%81%AE%E4%BD%9C%E3%82%8A%E6%96%B9&qid=1642922473&s=books&sr=1-1,日本能率協会マネジメントセンター,2020年9月1日,⭐️⭐️⭐️⭐️⭐️,,ヌルい職場は誤解!「健全な衝突」がチームの力を引き上げる。施策だけではうまくいかない心理的安全性の効果的なつくりかた。,book
心理的安全性の作り方,石井 遼介,https://www.amazon.co.jp/%E5%BF%83%E7%90%86%E7%9A%84%E5%AE%89%E5%85%A8%E6%80%A7%E3%81%AE%E3%81%A4%E3%81%8F%E3%82%8A%E3%81%8B%E3%81%9F-%E7%9F%B3%E4%BA%95-%E9%81%BC%E4%BB%8B/dp/4820728245/ref=sr_1_1?adgrpid=124347296050&gclid=CjwKCAiA866PBhAYEiwANkIneF3DEd-jCQ2gUXlNO_rTx8wwUy8RIRIafrqF69bHd6UA6i3W6qsBMxoCgwwQAvD_BwE&hvadid=557902281505&hvdev=c&hvlocphy=1009308&hvnetw=g&hvqmt=e&hvrand=6622399833983592342&hvtargid=kwd-967058364954&hydadcr=4072_13159912&jp-ad-ap=0&keywords=%E5%BF%83%E7%90%86%E7%9A%84%E5%AE%89%E5%85%A8%E6%80%A7%E3%81%AE%E4%BD%9C%E3%82%8A%E6%96%B9&qid=1642922473&s=books&sr=1-1,日本能率協会マネジメントセンター,2020年9月1日,⭐️⭐️⭐️⭐️⭐️,,ヌルい職場は誤解!「健全な衝突」がチームの力を引き上げる。施策だけではうまくいかない心理的安全性の効果的なつくりかた。,book
"The contribution of neural networks and genetic algorithms to business decision support ",,https://www.emeraldinsight.com/doi/abs/10.1108/00251740410518534,Emerald Group,2004年10月1日,⭐️⭐️⭐️⭐️,Finished,,Academic Journal
Jane Eyre and the Invention of Self,Karen Swallow Prior,https://www.theatlantic.com/entertainment/archive/2016/03/how-jane-eyre-created-the-modern-self/460461/,The Atlantic,2016年10月3日,⭐️⭐️,Reading,,Essay Resource
https://www.notion.so/7ac3c25e5ef44874aef1835aeb45c1ac,,,Bon Appetit,,,Ready to Start,,Podcast
General Magic the Movie,,https://www.generalmagicthemovie.com/,Indie,,⭐️⭐️⭐️⭐️⭐️,Finished,,Film
心理的安全性のつくりかた | 石井 遼介 |本 | 通販 | Amazon,石井 遼介,https://www.amazon.co.jp/%E5%BF%83%E7%90%86%E7%9A%84%E5%AE%89%E5%85%A8%E6%80%A7%E3%81%AE%E3%81%A4%E3%81%8F%E3%82%8A%E3%81%8B%E3%81%9F-%E7%9F%B3%E4%BA%95-%E9%81%BC%E4%BB%8B/dp/4820728245/ref=sr_1_1?adgrpid=124347296050&gclid=CjwKCAiA866PBhAYEiwANkIneF3DEd-jCQ2gUXlNO_rTx8wwUy8RIRIafrqF69bHd6UA6i3W6qsBMxoCgwwQAvD_BwE&hvadid=557902281505&hvdev=c&hvlocphy=1009308&hvnetw=g&hvqmt=e&hvrand=6622399833983592342&hvtargid=kwd-967058364954&hydadcr=4072_13159912&jp-ad-ap=0&keywords=%E5%BF%83%E7%90%86%E7%9A%84%E5%AE%89%E5%85%A8%E6%80%A7%E3%81%AE%E4%BD%9C%E3%82%8A%E6%96%B9&qid=1642922473&s=books&sr=1-1,日本能率協会マネジメントセンター,2022年1月23日,⭐️⭐️⭐️⭐️⭐️,,Amazonで石井 遼介の心理的安全性のつくりかた。アマゾンならポイント還元本が多数。石井 遼介作品ほか、お急ぎ便対象商品は当日お届けも可能。また心理的安全性のつくりかたもアマゾン配送商品なら通常配送無料。,book