名前,タグ,説明
ルートユーザー,共通,AWSアカウントに関連する全てのサービスを操作できるユーザー
IAMユーザー,共通,日常的なタスクを実行するユーザー
リージョン,共通,世界中にあるそれぞれのAWSの拠点、提供サービスなどに違いがある
アクセス許可,"セキュリティ, 共通",aws%2082db12f4aa9a4ef69b07ea6bd6f009e3/IAM%E3%83%A6%E3%83%BC%E3%82%B5%E3%82%99%E3%83%BC%20e2ee4da497844477af30724b2709f9fb.csvに紐付けられる権限
MFA,"セキュリティ, 共通",多要素認証、知る要素(パスワード)・持つ要素(スマホ、クレカ)・備える要素(指紋、網膜)の2つ以上の組み合わせを認証として用いること
仮想MFAデバイス,"セキュリティ, 共通",スマホで持つ要素として有効期限の短い暗証番号出力する機器(MFAデバイス)を仮想的に実現する
VPC,VPC,VirtualPrivateCloud、AWS内にネットワークを仮想的に構成する
IPアドレス,VPC,ネットワーク通信の際の宛先情報
CIDR,VPC,サイダー、IPアドレスを管理するは範囲を決める方法
IPv4 CIDR ブロック,VPC,VPC内のIPアドレスの範囲を指定する
サブネット,VPC,VPCのIPアドレスの分割する単位
アベイラビリティゾーン,"VPC, 共通",リージョンの中でもそれぞれに独立している場所
インターネットゲートウェイ,VPC,VPC内とインターネット間の通信を制御するもの、玄関
アタッチ,共通,割り当てること
NAT,VPC,NetworkAddressTraslation、VPCからの通信にインターネット上のパブリック IPを付与する機能、ゲートウェイの一種
ElasticIP,VPC,パブリックIPを管理する機能
ルートテーブル,VPC,サブネット間の通信経路を設定する、ターゲットにローカル(同VPC)・インターネットゲートウェイ(パブリックサブネット内からインターネット)・NATゲートウェイ(プライベートサブネット内からインターネット)・VPNゲートウェイ(VPN内)・VPCピアリング(他のVPC)を指定する
セキュリティグループ,VPC,SGとも略される、外部からのアクセスに制限をつける機能、インスタンスに適用する
ネットワークアクセスコントロールリスト,VPC,ネットワークACL、SGと同様にアクセスに制限をつける機能、サブネットに適用する
インバウンドルール,VPC,https://atmarkit.itmedia.co.jp/icd/root/37/93944637.htmlに対するルール。送りつけられてくるトラフィック
アウトバウンドルール,VPC,"https://atmarkit.itmedia.co.jp/icd/root/28/68030628.html#:~:text=%E3%80%8Coutbound%E3%80%8D%E3%81%AF%E3%80%8C%E5%A4%96%E9%83%A8%E3%81%AB,%E3%82%A4%E3%83%B3%E3%83%90%E3%82%A6%E3%83%B3%E3%83%89%EF%BC%88inbound%EF%BC%89%E3%81%A8%E5%91%BC%E3%81%B0%E3%82%8C%E3%82%8B%E3%80%82に対するルール"